	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
470	470	DeBERTa-base	ALPS	120	0.429	0.370	
471	471	RoBERTa-base	CAL	120	0.469	0.467	
472	472	DeBERTa-large	CAL	120	0.422	0.361	
473	473	BERT-base	bertKM	120	0.344	0.238	
474	474	RoBERTa-base	CAL	120	0.418	0.357	
475	475	DeBERTa-large	CAL	120	0.522	0.495	
476	476	RoBERTa-large	CAL	120	0.411	0.341	
477	477	BERT-large	CAL	120	0.431	0.340	
478	478	BERT-large	CAL	120	0.407	0.320	
479	479	BERT-large	CAL	120	0.400	0.323	
480	480	DeBERTa-large	Density	120	0.336	0.172	
481	481	BERT-large	CAL	120	0.429	0.348	
482	482	RoBERTa-base	CAL	120	0.427	0.345	
483	483	BERT-large	Entropy	120	0.342	0.189	
484	484	DeBERTa-large	bertKM	120	0.513	0.480	
485	485	BERT-base	ALPS	120	0.358	0.258	
486	486	DeBERTa-base	Entropy	120	0.396	0.304	
487	487	BERT-base	CAL	120	0.338	0.205	
488	488	BERT-base	Density	120	0.336	0.180	
489	489	BERT-base	CAL	120	0.347	0.236	
490	490	BERT-large	Density	120	0.351	0.230	
491	491	BERT-large	CAL	120	0.358	0.261	
492	492	RoBERTa-large	CAL	120	0.422	0.338	
493	493	RoBERTa-large	CAL	120	0.384	0.332	
494	494	DeBERTa-base	CAL	120	0.398	0.325	
495	495	RoBERTa-large	CAL	120	0.547	0.542	
496	496	DeBERTa-base	bertKM	120	0.396	0.303	
497	497	RoBERTa-base	CAL	120	0.438	0.361	
498	498	RoBERTa-base	CAL	120	0.411	0.336	
499	499	RoBERTa-base	CAL	120	0.404	0.332	
